Catenulispora_acidiphila_DSM_44928 3
Caulobacter_segnis_ATCC_21756 3
Caulobacter_sp._K31 7
Cellulophaga_lytica_DSM_7489 1
Cellvibrio_japonicus_Ueda107 6
Chania_multitudinisentens_RB-25 11
Chelativorans_sp._BNC1 5
Chitinophaga_pinensis_DSM_2588 6
Chlamydophila_caviae_GPIC 0
Chloracidobacterium_thermophilum_B 1
Chlorobium_chlorochromatii_CaD3 2
Chlorobium_luteolum_DSM_273 3
Chlorobium_phaeobacteroides_DSM_266 11
Chromohalobacter_salexigens_DSM_3043 3
Chroococcidiopsis_thermalis_PCC_7203 5
Chthonomonas_calidirosea_T49 1
Citrobacter_freundii_CFNIH1 370
Citrobacter_koseri_ATCC_BAA-895 1
Clavibacter_michiganensis_subsp._michiganensi 1
Clostridium_acetobutylicum_ATCC_824 8
Clostridium_acetobutylicum_DSM_1731 8
Clostridium_acetobutylicum_EA_2018 8
Clostridium_beijerinckii_NCIMB_8052 10
Clostridium_botulinum_A2_str._Kyoto 9
Clostridium_botulinum_A3_str._Loch_Maree 5
Clostridium_botulinum_A_str._Hall 5
Clostridium_botulinum_B1_str._Okra 8
Clostridium_botulinum_BKT015925 14
Clostridium_botulinum_Ba4_str._657 27
Clostridium_botulinum_H04402_065 8
Clostridium_cellulovorans_743B 8
Clostridium_kluyveri_DSM_555 11
Clostridium_kluyveri_NBRC_12016 11
Clostridium_ljungdahlii_DSM_13528 4
Clostridium_novyi_NT 6
Clostridium_pasteurianum_BC1 15
Clostridium_perfringens_ATCC_13124 4
Clostridium_perfringens_str._13 3
Clostridium_saccharobutylicum_DSM_13864 9
Clostridium_saccharoperbutylacetonicu 8
Collimonas_fungivorans_Ter331 6
Corallococcus_coralloides_DSM_2259 5
Corynebacterium_callunae_DSM_20147 2
Corynebacterium_diphtheriae_BH8 5
Corynebacterium_diphtheriae_VA01 3
Corynebacterium_efficiens_YS-314 7
Corynebacterium_glutamicum_R 3
Corynebacterium_halotolerans_YIM_70093 2
Corynebacterium_jeikeium_K411 6
Corynebacterium_pseudotuberculosis 2
Corynebacterium_pseudotuberculosis_1002 2
Corynebacterium_pseudotuberculosis_P54B96 2
Corynebacterium_terpenotabidum_Y-11 3
Corynebacterium_ulcerans_809 4
Corynebacterium_ulcerans_BR-AD22 7
Corynebacterium_variabile_DSM_44702 6
Coxiella_burnetii_RSA_493 1
Cupriavidus_metallidurans_CH34 11
Cupriavidus_necator_N-1 10
Cupriavidus_taiwanensis_LMG_19424 8
Cyanobacterium_aponinum_PCC_10605 2
Cyanothece_sp._PCC_7424 7
Cyanothece_sp._PCC_7425 11
Cyanothece_sp._PCC_8801 5
Cyanothece_sp._PCC_8802 3
Cylindrospermum_stagnale_PCC_7417 7
Dechloromonas_aromatica_RCB 5
Dechlorosoma_suillum_PS 5
Dehalobacter_restrictus_DSM_9455 3
Dehalobacter_sp._CF 7
Dehalobacter_sp._DCA 5
Dehalococcoides_mccartyi_195 5
Dehalococcoides_mccartyi_BAV1 3
Dehalococcoides_mccartyi_BTF08 5
Dehalococcoides_mccartyi_CBDB1 2
Dehalococcoides_mccartyi_DCMB5 2
Dehalococcoides_mccartyi_GY50 2
Dehalococcoides_mccartyi_VS 2
Dehalogenimonas_lykanthroporepellens_BL-DC-9 9
Deinococcus_deserti_VCD115 2
Deinococcus_gobiensis_I-0 7
Deinococcus_peraridilitoris_DSM_19664 10
Deinococcus_proteolyticus_MRP 3
Deinococcus_radiodurans_R1 3
Delftia_acidovorans_SPH-1 8
Delftia_sp._Cs1-4 4
Denitrovibrio_acetiphilus_DSM_12809 9
Desulfarculus_baarsii_DSM_2075 7
Desulfitobacterium_dehalogenans_ATCC_51507 6
Desulfitobacterium_dichloroeliminans_LM 3
Desulfitobacterium_hafniense_Y51 9
Desulfobulbus_propionicus_DSM_2032 1
Desulfococcus_oleovorans_Hxd3 2
Desulfosporosinus_acidiphilus_SJ4 3
Desulfosporosinus_meridiei_DSM_13257 5
Desulfosporosinus_orientis_DSM_765 7
Desulfotomaculum_gibsoniae_DSM_7213 7
Desulfotomaculum_kuznetsovii_DSM_6115 7
Desulfotomaculum_nigrificans_CO-1-SRB 4
Desulfotomaculum_ruminis_DSM_2154 8
Desulfovibrio_aespoeensis_Aspo-2 5
Desulfovibrio_africanus_str._Walvis_Bay 4
Desulfovibrio_alaskensis_G20 7
Desulfovibrio_magneticus_RS-1 8
Desulfovibrio_salexigens_DSM_2638 3
Desulfovibrio_vulgaris_RCH1 9
Dickeya_dadantii_3937 5
Dickeya_dadantii_Ech586 7
Dyella_japonica_A8 2
Enterobacter_asburiae_L1 4
Enterobacter_cloacae_EcWSU1 7
Enterobacter_cloacae_subsp._dissolvens_SDM 6
Enterobacter_lignolyticus_SCF1 4
Enterobacter_sp._638 9
Enterobacter_sp._R4-368 7
Enterococcus_faecium_NRRL_B-2354 8
Erwinia_amylovora_ATCC_49946 4
Erwinia_amylovora_CFBP1430 4
Erwinia_pyrifoliae_DSM_12163 4
Erysipelothrix_rhusiopathiae_str._Fujisawa 1
Escherichia_coli_ATCC_8739 9
Escherichia_coli_B_str._REL606 10
Escherichia_coli_NA114 15
Escherichia_coli_O157:H7_str._EDL933 14
Escherichia_coli_O55:H7_str._CB9615 15
Escherichia_coli_W 11
Escherichia_coli_str._K-12_substr._DH10B 10
Escherichia_coli_str._K-12_substr._MG1655 10
Eubacterium_acidaminophilum_DSM_3953 7
Exiguobacterium_sibiricum_255-15 1
Exiguobacterium_sp._AT1b 4
Exiguobacterium_sp._MH3 1
Fervidobacterium_pennivorans_DSM_9078 1
Flavobacterium_branchiophilum_FL-15 4
Flavobacterium_columnare_ATCC_49512 5
Flavobacterium_johnsoniae_UW101 5
Flavobacterium_psychrophilum 2
Francisella_cf._novicida_Fx1 3
Francisella_cf._tularensis_subsp._novicid 4
Francisella_philomiragia_subsp._philomiragi 6
Francisella_sp._TX077308 3
